,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996462568368079,1.9374793177843192e-07,2024-02-21 09:24:14,23.099236011505127,126.16512560844421
41,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0009143160548435,2.1025262341477706e-07,2024-02-21 09:20:44,10.803873300552368,82.9176115989685
38,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0002950090541003,2.1314661227639185e-07,2024-02-21 09:13:07,4.317235231399536,25.306682109832764
48,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9999488368335535,2.2663712370578215e-07,2024-02-21 09:14:08,11.242358446121216,41.07013297080994
55,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9997309505099692,1.9482268280277276e-07,2024-02-21 09:20:37,15.527937650680542,71.75791764259338
102,1000,1000,3,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9994417030917743,1.9461318229755677e-07,2024-02-21 09:26:41,180.27076840400696,577.4037849903107
82,1000,1000,4,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9992500880516095,1.9547040545434837e-07,2024-02-21 09:26:24,162.61335515975952,587.371649980545
118,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0009226179130222,2.1290509337193387e-07,2024-02-21 09:24:12,15.97897982597351,130.1090383529663
107,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990856834888274,1.919723764209387e-07,2024-02-21 09:14:05,12.34823727607727,51.649277448654175
60,1000,1000,5,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9995914061290974,1.945527561612348e-07,2024-02-21 09:43:16,331.00660705566406,1300.442923784256
112,1000,1000,3,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0004484361918937,2.1537263504512164e-07,2024-02-21 09:23:53,88.52193856239319,500.78513622283936
15,1000,1000,4,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.000398197507657,2.1144308986391442e-07,2024-02-21 09:27:22,111.6968400478363,681.8666038513184
45,1000,1000,5,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0011219144241492,2.1725016117809912e-07,2024-02-21 09:31:36,115.98275113105774,713.1259665489197
73,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0006236773205688,2.1877310301678337e-07,2024-02-21 09:17:22,5.709003686904907,37.75597023963928
1,1000,1000,1,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990822975168893,1.9483178630522192e-07,2024-02-21 09:32:47,127.10782527923584,401.18692898750305
3,1000,1000,2,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996152158461498,2.0556815905922195e-07,2024-02-21 09:33:36,93.69388031959534,354.233078956604
66,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9994459418035679,1.9377679263443907e-07,2024-02-21 09:17:40,12.746089696884155,48.04545545578003
7,1000,1000,1,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990556111368728,2.0574439134116206e-07,2024-02-21 09:29:26,53.477311849594116,249.06660985946655
117,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990477058500499,2.009814431480877e-07,2024-02-21 09:13:01,5.900831460952759,33.62592625617981
12,1000,1000,2,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990078156875183,1.937133418157703e-07,2024-02-21 09:38:54,181.57912015914917,605.7518310546875
42,1000,1000,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990501334524013,1.872904003502852e-07,2024-02-21 09:34:42,197.0072877407074,791.4844706058502
46,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9991189707455099,1.8699488701335197e-07,2024-02-21 09:21:11,15.493030071258545,72.06510066986084
39,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996445117098878,2.0874502690345338e-07,2024-02-21 09:17:56,6.0437798500061035,38.39234924316406
2,1000,1000,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990844473421167,1.8795990385601956e-07,2024-02-21 09:39:08,181.36446976661682,593.5207350254059
99,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9995590115909394,2.0577421440788123e-07,2024-02-21 09:24:40,16.090030670166016,130.94983172416687
35,1000,1000,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9994903678414753,2.03551823490503e-07,2024-02-21 09:23:11,79.78162360191345,463.4917137622833
50,1000,1000,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996320818981411,2.0876887029968924e-07,2024-02-21 09:40:03,173.32705640792847,1112.1384000778198
33,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9991250295181583,1.8568839462787412e-07,2024-02-21 09:13:10,10.815626382827759,40.35421872138977
