,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.3687197213135951,0.011775673716350573,2024-02-29 12:09:03,1917.2992787361145,1.6366238594055176
43,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.35375803208409995,0.01151955267498321,2024-02-29 11:56:24,1159.0240194797516,0.766254186630249
82,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.42521597794698696,0.011591536991609554,2024-02-29 11:59:42,1345.489185333252,1.9898772239685059
35,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.36194345181422205,0.011497718862069746,2024-02-29 11:52:31,917.6871175765991,0.6686887741088867
32,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.30041631456792217,0.01200137486935875,2024-02-29 11:48:54,720.5756781101227,0.441986083984375
29,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.48530389026269494,0.011200500268413212,2024-02-29 11:47:23,567.523538351059,1.0628445148468018
26,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.29191351905954166,0.01212942453502165,2024-02-29 11:40:26,200.64071226119995,0.4384608268737793
75,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.007643886769320554,0.009819604183035853,2024-02-29 11:50:53,847.1134676933289,0.5334389209747314
10,100,100,7,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.3683459604033247,0.011717264310171518,2024-02-29 14:32:47,10373.7529027462,12.2384033203125
48,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.44169299028137515,0.011099548860318345,2024-02-29 11:45:40,510.29309248924255,0.789461612701416
81,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.008052586416078759,0.009936676085367994,2024-02-29 11:39:03,137.43928813934326,0.4766418933868408
3,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.4344737425917871,0.01149230075920282,2024-02-29 12:28:39,2958.070530653,4.279757261276245
7,100,100,6,0.25,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.4284978460549862,0.011362374053644672,2024-02-29 12:20:18,2575.5568659305573,3.698772668838501
1,100,100,6,0.25,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.39652380317257296,0.011058572195683156,2024-02-29 12:52:03,4475.7700111866,3.9533305168151855
30,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.1342624066507916,0.010292417008920847,2024-02-29 11:52:20,909.6119894981384,0.6289033889770508
27,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.17610444647493007,0.010162336954291617,2024-02-29 11:46:38,574.2584869861603,0.9612808227539062
6,100,100,7,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.15815710905550304,0.010022019571364747,2024-02-29 12:55:58,4541.442136287689,6.463869571685791
25,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.13156953417027886,0.010102334285162525,2024-02-29 11:50:12,775.9978919029236,0.4624629020690918
22,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.10692879868524782,0.010818409764758037,2024-02-29 11:39:37,165.85223984718323,0.3686532974243164
68,100,100,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.0041235814582005845,0.009471031911857405,2024-02-29 11:39:42,136.52966284751892,0.41084718704223633
8,100,100,6,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.12904846949896126,0.010894337241251481,2024-02-29 12:42:19,3896.7779426574707,3.5840775966644287
70,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.15172837743954698,0.010390209032815689,2024-02-29 11:58:24,1278.7397012710571,1.8694148063659668
16,100,100,6,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.14678772203464946,0.010334600787811,2024-02-29 12:16:53,2374.505504131317,3.4441335201263428
77,100,100,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.007077525003368454,0.00964791156014401,2024-02-29 11:51:31,883.6893990039825,0.5470309257507324
78,100,100,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.14079734176226855,0.010415765782918559,2024-02-29 12:08:23,1881.3235938549042,1.6399214267730713
51,100,100,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.13307966742508218,0.010530819905390263,2024-02-29 11:56:42,1178.848399400711,0.7975854873657227
53,100,100,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.14559840070243507,0.010508861213895446,2024-02-29 11:46:31,561.5009274482727,0.8726725578308105
2,100,100,7,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.14248994357262615,0.010426097592967504,2024-02-29 13:51:56,7749.584579229355,8.705199003219604
62,100,100,1,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.0026817033436021993,0.009121203623624357,2024-02-29 11:50:51,827.9665269851685,0.49364686012268066
54,100,100,5,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.01800149489405623,0.009382461640067044,2024-02-29 12:02:30,1517.3945488929749,2.0896694660186768
55,100,100,1,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.014131208689431593,0.009183798976358671,2024-02-29 11:39:18,139.44309329986572,0.4086480140686035
45,100,100,2,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.003241374591347387,0.009059331705358775,2024-02-29 11:41:31,270.6633794307709,0.5413315296173096
60,100,100,4,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.007959391178606945,0.008886745170020478,2024-02-29 11:52:16,908.4359335899353,0.6526899337768555
80,100,100,7,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.002495044189794665,0.009011371529699606,2024-02-29 12:46:04,3927.3775446414948,5.666063070297241
9,100,100,7,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.00295249934936327,0.00903028752771135,2024-02-29 14:10:21,8938.447580337524,9.70284390449524
67,100,100,4,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.0038359066654378333,0.00882717447641544,2024-02-29 11:46:35,569.8869712352753,0.8561272621154785
47,100,100,3,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.008583917286889908,0.009047114062990028,2024-02-29 11:45:32,522.857973575592,0.8228714466094971
23,100,100,2,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.008832293353155864,0.008983749788170443,2024-02-29 11:52:33,942.4360356330872,0.522057294845581
21,100,100,6,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.0059352783972129505,0.009176910931309798,2024-02-29 12:42:22,3901.0107321739197,3.3634533882141113
74,100,100,5,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.01298631675774872,0.009704123404779138,2024-02-29 12:09:18,1936.808875322342,1.6491289138793945
14,100,100,6,0.5,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.015374936698935977,0.00913792203084453,2024-02-29 12:25:53,2714.274776697159,3.9284701347351074
24,100,100,3,0.5,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.00405693829522896,0.008801242108290483,2024-02-29 11:59:39,1347.868625164032,0.9016008377075195
65,100,100,7,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.12945470505571066,0.00936470562866311,2024-02-29 12:31:08,3032.8036074638367,4.559260845184326
59,100,100,1,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.0003605720189734582,0.008421502883757948,2024-02-29 11:50:55,829.1493260860443,0.5196492671966553
58,100,100,5,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.10568732624545836,0.009309572319021037,2024-02-29 12:13:29,2178.781951189041,1.7543792724609375
69,100,100,5,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.1290645250029413,0.009493360087888245,2024-02-29 12:01:04,1428.5436902046204,2.0773041248321533
52,100,100,6,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.13523692417221994,0.009556206461022326,2024-02-29 12:20:26,2404.6220541000366,3.4262397289276123
79,100,100,7,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.12105479153811335,0.009101874161295667,2024-02-29 14:14:05,9159.56331896782,10.191648006439209
64,100,100,4,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.09830053284816644,0.009333241419484403,2024-02-29 11:52:02,888.90465092659,0.6047093868255615
83,100,100,4,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.134545325324664,0.00911829836172024,2024-02-29 11:50:50,821.9410119056702,1.184943437576294
11,100,100,6,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.11406663022792263,0.009310121616688616,2024-02-29 12:40:55,3623.655369281769,3.567387580871582
44,100,100,2,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.1059313828289549,0.009196884671154688,2024-02-29 11:54:49,1074.167490720749,0.6224648952484131
42,100,100,3,0.7,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.10463675067221928,0.009276019903530585,2024-02-29 11:52:37,905.1547555923462,0.587867259979248
39,100,100,2,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.11256126298027412,0.009333670860655974,2024-02-29 11:41:48,287.1150019168854,0.5476725101470947
13,100,100,1,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,0.005097195768918777,0.008511140505888814,2024-02-29 11:39:26,143.7508008480072,0.4094414710998535
49,100,100,3,0.7,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.12268845507863299,0.00899639747656166,2024-02-29 11:43:53,362.4242579936981,0.5950307846069336
50,100,100,3,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.39806918501538613,0.010330472092343543,2024-02-29 11:53:01,908.1180312633514,0.5828099250793457
12,100,100,1,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.08790730138067657,0.008531537182771186,2024-02-29 11:52:28,921.2084918022156,0.5001745223999023
76,100,100,4,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.4161732764616687,0.010225695184682242,2024-02-29 11:56:37,1171.651941537857,0.8586735725402832
17,100,100,6,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.42481517724276113,0.010258994726890793,2024-02-29 12:16:48,2192.7390320301056,3.129709243774414
71,100,100,4,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.40865396686742694,0.010609812443461231,2024-02-29 11:50:18,797.6906180381775,1.16157865524292
18,100,100,5,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.3916580931176087,0.010611356449420791,2024-02-29 12:01:19,1443.0133893489838,2.0725479125976562
28,100,100,1,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.0006926151275914415,0.008073802632351995,2024-02-29 11:38:45,110.80910181999207,0.4630906581878662
66,100,100,7,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.3770897648349533,0.010019312044572576,2024-02-29 14:08:03,8773.144207715988,9.4391348361969
61,100,100,6,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.40442062239097715,0.010164213413177407,2024-02-29 12:41:10,3651.099763393402,3.567861557006836
40,100,100,2,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.4096214266550624,0.010473780230685755,2024-02-29 11:53:47,998.6315758228302,0.589385986328125
37,100,100,2,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.36757072114583544,0.009959792374087359,2024-02-29 11:42:29,320.69765639305115,0.5822217464447021
57,100,100,7,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.4086332897959343,0.01035734496232738,2024-02-29 12:31:58,3036.210694551468,4.247117757797241
63,100,100,5,0.9,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.398701525190878,0.010204856960946713,2024-02-29 12:12:09,2096.177728652954,1.7019388675689697
38,100,100,3,0.9,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.44411710776685076,0.010815439412286977,2024-02-29 11:43:48,356.98133516311646,0.5740153789520264
33,100,100,1,1.0,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.008851806322013633,0.007728478841753942,2024-02-29 11:38:04,56.97549104690552,0.17999935150146484
4,100,100,5,1.0,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.6232968946667194,0.010311055406697769,2024-02-29 11:59:48,1367.489914894104,1.86405348777771
5,100,100,4,1.0,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.6349140520955592,0.010470409476687497,2024-02-29 11:50:06,776.6590940952301,0.9932479858398438
46,100,100,2,1.0,sig,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.5478598970122117,0.0099928620441052,2024-02-29 11:40:18,204.52294087409973,0.38742589950561523
56,100,100,7,1.0,log,0.001,0.1,0.02,1.0,,3,51,16384,16384,1,32,16384,tX,-0.6781544452901663,0.010404148621446339,2024-02-29 14:07:27,8708.842962741852,9.267756223678589
