,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.3674525869994176,0.011478075636148107,2024-02-29 22:00:51,25151.561536312103,2.4786856174468994
43,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.3676447620338062,0.011553361484153259,2024-02-29 19:39:56,16959.314446926117,0.7986040115356445
82,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.43064706479704506,0.011166111534348476,2024-02-29 17:09:14,7658.972406864166,2.1041722297668457
35,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.37809061208524597,0.01087671155679035,2024-02-29 20:28:07,19778.456378936768,1.1161139011383057
32,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.31079244173935777,0.011612855376687374,2024-02-29 17:43:08,9969.935827970505,0.4484426975250244
29,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.4384142200460189,0.011427519198088824,2024-02-29 17:38:06,9570.532959222794,1.3468894958496094
26,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.2987615389892749,0.011916139261727958,2024-02-29 15:25:42,1737.824206829071,0.4038822650909424
75,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.025267718951690284,0.00982957017825313,2024-02-29 17:24:34,8860.322875738144,0.38899970054626465
10,100,100,7,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.372774665363626,0.011805273144911995,2024-03-01 11:01:37,70867.93060016632,10.467593669891357
48,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.43722997758230686,0.01142723725508708,2024-02-29 16:27:11,5388.991260766983,0.846808671951294
81,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.019499391278811194,0.009948989637436427,2024-02-29 15:08:09,693.3592882156372,0.3080601692199707
3,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.4283944379731535,0.011530902551691284,2024-02-29 16:18:44,3894.2756588459015,4.110340356826782
7,100,100,6,0.25,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.4381295298371226,0.011264771383547157,2024-02-29 16:48:39,6303.9088134765625,3.4254605770111084
1,100,100,6,0.25,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.39112099545189594,0.01123276863624683,2024-03-01 03:24:13,44418.288880348206,3.4477014541625977
30,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.13259298783547063,0.010187281139230023,2024-02-29 20:31:46,20026.137135505676,1.0949897766113281
27,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.16249961178758732,0.010327803360097938,2024-02-29 16:24:13,5220.603662490845,0.7725574970245361
6,100,100,7,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.16006280154407349,0.010202758586328343,2024-02-29 16:19:18,3873.93043756485,4.12865948677063
25,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.12981357692738932,0.010302110412015213,2024-02-29 17:39:47,9765.288328409195,0.44558095932006836
22,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.11349851113146062,0.010629308998221166,2024-02-29 15:35:20,2312.952992916107,0.5404672622680664
68,100,100,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,0.002744350512374285,0.009613022748782646,2024-02-29 15:13:15,1000.1979126930237,0.4085657596588135
8,100,100,6,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.14709915384039088,0.010358351962600373,2024-03-01 05:15:50,51073.53427410126,3.733919858932495
70,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.17703623155625947,0.010152802836463713,2024-02-29 17:29:57,8883.186399936676,2.424201011657715
16,100,100,6,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,262144,262144,1,32,16384,tX,-0.14520827935604497,0.01019023328758406,2024-02-29 16:44:37,6071.385734796524,3.346558094024658
