,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.0978770440761023,7.37674691421425e-07,2024-02-13 18:29:11,8.09047245979309,124.54799246788025
41,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.031690240656735,2.0310616251966083e-07,2024-02-13 18:26:14,6.2965474128723145,93.33981227874756
38,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.028059079265801,2.0977415994347348e-07,2024-02-13 18:22:27,4.281388998031616,43.16090226173401
48,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.1027890532830016,6.641318745063425e-07,2024-02-13 18:23:02,7.687710762023926,74.11879181861877
55,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.0248745406359363,3.4813546761068266e-07,2024-02-13 18:26:20,8.778137445449829,97.33781576156616
102,1000,1000,3,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-0.9991605727574904,1.9351204361171784e-07,2024-02-13 18:30:59,54.460349798202515,396.4600534439087
82,1000,1000,4,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-0.9993925042915563,1.9488612758212326e-07,2024-02-13 18:34:20,53.84201955795288,434.2254009246826
118,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.0317289661103133,2.3006813930842362e-07,2024-02-13 18:29:43,5.249243497848511,128.13411736488342
107,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-0.9992112077421171,1.9336445591672806e-07,2024-02-13 18:23:09,8.792750120162964,75.11316895484924
60,1000,1000,5,0.25,log,0.001,0.1,0.02,1.0,,3,101,256,4096,0.1,32,1048576,tX,-1.000249875182365,2.636486802767544e-07,2024-02-13 18:47:42,84.29472136497498,1045.4773681163788
