,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,30,30,5,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996682314374168,1.9967205412705714e-07,2024-02-21 11:51:32,7.534703969955444,39.33092427253723
58,30,30,5,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.000368716073281,2.0779291800722618e-07,2024-02-21 11:51:20,4.803204774856567,39.23681569099426
28,30,30,3,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0001092405636274,1.9631443286940113e-07,2024-02-21 11:51:10,5.824690580368042,25.360455989837646
20,30,30,4,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9995762439119209,1.819604237025729e-07,2024-02-21 11:51:56,4.030235528945923,16.40421748161316
17,30,30,2,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9993602220618478,1.8905480172494666e-07,2024-02-21 11:51:51,3.465898036956787,12.37526559829712
14,30,30,4,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0009136919919237,2.1054838433029936e-07,2024-02-21 11:51:12,3.218567371368408,25.58274483680725
11,30,30,2,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9999233321203472,2.0079721934330345e-07,2024-02-21 11:51:22,1.3579373359680176,7.862414121627808
33,30,30,3,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-1.0001935270510112,2.063966433500648e-07,2024-02-21 11:50:56,2.619763135910034,17.92344331741333
57,30,30,1,0.25,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989793814537922,2.0971988231233606e-07,2024-02-21 11:50:49,1.29335618019104,6.5741400718688965
53,30,30,1,0.25,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990858627530982,1.8906772598818537e-07,2024-02-21 11:50:59,4.582035064697266,16.878185272216797
55,30,30,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.999026350231822,1.8232225626141683e-07,2024-02-21 11:51:52,4.082682847976685,15.19136667251587
36,30,30,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990857886194283,1.8439663514736733e-07,2024-02-21 11:51:02,5.328434944152832,20.9134042263031
56,30,30,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990550283850307,1.836641860997596e-07,2024-02-21 11:51:27,7.68562650680542,42.44274878501892
37,30,30,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9996588606707695,1.9918567926751314e-07,2024-02-21 11:51:06,3.3129847049713135,26.607496738433838
7,30,30,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9992412990597661,2.0158235928675222e-07,2024-02-21 11:51:40,1.3476436138153076,7.784988880157471
47,30,30,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.998962502158468,2.045278456703712e-07,2024-02-21 11:50:58,1.4408090114593506,8.607588291168213
10,30,30,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990225776279722,1.837405793086877e-07,2024-02-21 11:51:52,3.487050771713257,12.537725925445557
49,30,30,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9997050347881171,2.0275266789711427e-07,2024-02-21 11:51:24,4.831567764282227,39.47496461868286
12,30,30,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9994743933391986,2.031664893049507e-07,2024-02-21 11:51:28,1.7678303718566895,11.67303991317749
15,30,30,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.999091997411645,1.8405872312755543e-07,2024-02-21 11:51:07,4.966479778289795,22.04089379310608
32,30,30,3,0.5,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989754438163809,1.8925773148123517e-07,2024-02-21 11:51:12,1.7358720302581787,11.558547735214233
9,30,30,3,0.5,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990018230170052,1.7262532147385066e-07,2024-02-21 11:51:54,4.04529070854187,14.887612342834473
30,30,30,2,0.5,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989352215100588,1.9434661372155045e-07,2024-02-21 11:50:57,1.317491054534912,7.6810572147369385
38,30,30,5,0.5,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989851465378061,1.886758004739365e-07,2024-02-21 11:51:20,4.802095413208008,39.05901527404785
39,30,30,1,0.5,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989881036108227,1.7948370453187518e-07,2024-02-21 11:50:44,1.4536504745483398,8.475353479385376
8,30,30,2,0.5,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989963756841086,1.724868470804018e-07,2024-02-21 11:51:51,3.518476724624634,12.500771045684814
42,30,30,4,0.5,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990193337052633,1.7280960400128277e-07,2024-02-21 11:51:03,4.875082731246948,21.771731853485107
43,30,30,1,0.5,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989863675958506,1.7161311956889708e-07,2024-02-21 11:51:02,3.0331289768218994,10.97059965133667
46,30,30,4,0.5,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989499192186402,1.913062377434374e-07,2024-02-21 11:51:04,3.3612453937530518,25.73309302330017
52,30,30,5,0.5,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9989885163750957,1.7290897469520175e-07,2024-02-21 11:51:20,7.153168678283691,37.563984632492065
48,30,30,5,0.7,sig,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9992113305321542,1.8062145414567518e-07,2024-02-21 11:51:26,4.888727426528931,39.630300760269165
45,30,30,4,0.7,log,0.001,0.1,0.02,1.0,,3,101,2048,4096,0.1,32,1048576,tX,-0.9990604844332406,1.6218199945866766e-07,2024-02-21 11:51:02,4.914116382598877,21.892524242401123
