,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
10,1000,1000,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9999726574727709,2.250933121878161e-07,2024-02-14 17:55:45,286.0199077129364,405.24138355255127
50,1000,1000,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0012480226070875,2.2483588638621788e-07,2024-02-14 18:11:51,261.1870687007904,729.8376142978668
9,1000,1000,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.001051525855876,2.2334782012177534e-07,2024-02-14 17:58:29,195.96256732940674,485.3758566379547
79,100,100,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0812497192829644,4.4872429999693776e-07,2024-02-14 17:43:08,17.175072193145752,56.08663296699524
77,100,100,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.3024797263183379,1.0575767658690678e-06,2024-02-14 17:42:22,35.001588344573975,65.58481621742249
6,1000,1000,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0008026315492033,2.244601826671486e-07,2024-02-14 17:54:53,211.8809163570404,359.74650168418884
35,1000,1000,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0013404778969026,2.270542541021385e-07,2024-02-14 18:07:45,246.97958397865295,696.3465304374695
33,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.4956864269419703,1.0293079520693886e-05,2024-02-14 17:41:44,39.00798296928406,73.94057512283325
100,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.092981439722692,5.0439649867805e-07,2024-02-14 17:46:05,50.134482622146606,152.3220133781433
111,100,100,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.30180606932119,1.444504420586968e-06,2024-02-14 17:45:01,43.772305727005005,101.03596377372742
26,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.06515826392413,4.5134377630893335e-07,2024-02-14 17:40:53,20.209234952926636,43.039323806762695
110,100,100,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.3527046933200766,4.775396156925634e-06,2024-02-14 17:40:56,22.868130445480347,36.37369251251221
116,1000,1000,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0011235498623772,2.412070666668455e-07,2024-02-14 18:03:24,366.46614480018616,618.8793318271637
2,1000,1000,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9985117622632596,2.385958568556751e-07,2024-02-14 18:02:37,409.8555691242218,616.6028349399567
20,1000,1000,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9994059300367113,2.039655889659598e-07,2024-02-14 17:48:12,91.88470911979675,163.16127729415894
117,1000,1000,2,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9998187889374572,2.2240489040087648e-07,2024-02-14 17:55:06,211.407452583313,355.50328493118286
80,100,100,5,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0888967360617865,6.888442215267069e-07,2024-02-14 17:45:24,34.386958599090576,127.49136519432068
18,1000,1000,1,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9996544633060481,2.2052373543157818e-07,2024-02-14 17:48:12,93.8973331451416,165.70597887039185
51,1000,1000,5,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9989910712800862,1.7714053710742855e-07,2024-02-14 18:26:47,558.2269632816315,1260.8231625556946
