,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,history_size,line_search_fn,tolerance_change,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
70,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.15191202232682957,0.002557853104525633,2024-03-11 22:17:38,705.5166766643524,30.844383478164673
16,100,100,6,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.14935636442305192,0.0025624134637210437,2024-03-11 23:15:17,1162.8895733356476,48.83295750617981
77,100,100,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.006545535281751825,0.002371638446938197,2024-03-11 18:53:26,427.5162751674652,11.185778617858887
78,100,100,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.1111199353259218,0.0026353302654313,2024-03-11 22:26:57,1693.4799177646637,43.455946922302246
51,100,100,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.10963502304981695,0.0026039285926634926,2024-03-11 20:05:43,632.3453233242035,14.723901271820068
53,100,100,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.15778176066095329,0.0025328799621058924,2024-03-11 21:01:18,420.67011761665344,19.934631824493408
2,100,100,7,0.3333333333333333,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.11144867727101959,0.002500816835204417,2024-03-12 01:55:09,4954.205711603165,153.0170419216156
62,100,100,1,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0011528696807884603,0.0022559770418228227,2024-03-11 19:01:24,696.7880733013153,16.99136447906494
54,100,100,5,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.0026767412362501417,0.002271723596454644,2024-03-11 22:26:41,772.5267632007599,33.64172625541687
55,100,100,1,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0028927394951499034,0.002217148235502796,2024-03-11 18:49:35,73.46508479118347,7.245634078979492
45,100,100,2,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.0034594013563641257,0.0022136045999708487,2024-03-11 19:29:24,148.89068508148193,9.264543533325195
