,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,optim_history_size,optim_line_search_fn,optim_tolerance_change,optim_max_iter,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.3723286543389559,0.0029335240406191884,2024-03-13 04:37:13,34350.5569767952,31.892812728881836
32,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.44269847308248594,0.002829126678510045,2024-03-12 12:59:29,6482.776666164398,13.530182838439941
19,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.3494193256758967,0.0029087630543157155,2024-03-12 21:15:25,21980.180480003357,16.092116832733154
16,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.30391520692903623,0.002945042636552991,2024-03-12 13:48:59,17510.180771112442,12.59908127784729
57,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.44626952306857304,0.0028354553156486363,2024-03-13 00:07:03,17378.045251846313,31.353270530700684
10,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.29815828904097086,0.002996140429067452,2024-03-12 09:30:12,2048.9839611053467,9.623865604400635
13,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.4452490683852704,0.0028588376701212093,2024-03-12 18:21:44,10432.634191513062,20.701968908309937
27,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.36730595526123083,0.0029305594965052077,2024-03-12 16:44:40,21460.742206573486,15.188023090362549
56,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.01148590361175916,0.0024648153177292452,2024-03-12 08:52:09,531.2597489356995,7.569767713546753
52,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.010995792219595929,0.0024732825419987335,2024-03-12 13:14:19,16186.415567159653,10.82065224647522
35,100,100,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12111636280969981,0.002612422455919902,2024-03-12 18:50:28,20722.277611255646,15.033814668655396
36,100,100,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.1578106636238318,0.0025668538762751505,2024-03-12 18:35:44,10951.384116649628,21.09885597229004
55,100,100,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.1316949014369341,0.002597164143944215,2024-03-13 04:23:56,31736.23320889473,29.722853422164917
6,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.11864540930301784,0.0026322076178211815,2024-03-12 09:31:38,2015.7240176200867,9.576066732406616
48,100,100,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.15970389959835693,0.002554148912617773,2024-03-13 00:32:28,17305.625875473022,31.085840702056885
11,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.15707416099763977,0.002578147549589578,2024-03-12 15:03:20,6234.643833398819,13.257429838180542
9,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12092744970248615,0.0025757964291390177,2024-03-12 13:46:02,17273.383049726486,12.38218879699707
46,100,100,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.002826566367257668,0.0023867616404783533,2024-03-12 08:51:25,487.53371381759644,7.661504030227661
