,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,optim_history_size,optim_line_search_fn,optim_tolerance_change,optim_max_iter,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
14,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12275494887674519,0.00261061311485423,2024-03-12 21:36:54,22109.10565853119,16.235191106796265
54,100,100,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.005999885838272097,0.0023884913629603267,2024-03-12 13:24:42,16792.5737555027,11.422603368759155
42,100,100,1,0.5,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,0.0031197142850751328,0.0022723878495273693,2024-03-12 13:20:35,16553.80027794838,11.212758302688599
45,100,100,4,0.5,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,0.0022453072753595435,0.00224837146099143,2024-03-12 18:53:16,10794.973898887634,20.765377044677734
41,100,100,4,0.5,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,0.0014620965517192159,0.002256048141736195,2024-03-12 21:46:34,21634.179515123367,17.239017248153687
38,100,100,1,0.5,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,0.003672948179746294,0.002247632476576844,2024-03-12 08:51:42,506.4598124027252,7.463984489440918
37,100,100,5,0.5,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,0.0053448968561771665,0.0022497523999746834,2024-03-13 01:16:32,17701.580598831177,31.779545545578003
51,100,100,5,0.5,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.0021708161830467304,0.002245449669537117,2024-03-13 04:33:26,30174.63105750084,29.586254835128784
31,100,100,3,0.5,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.0018137139977015197,0.0022423669637025487,2024-03-12 15:20:32,6652.040860891342,13.73746132850647
29,100,100,2,0.5,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.004485634856109255,0.0022542825728060958,2024-03-12 10:04:57,1853.7878713607788,9.489392042160034
7,100,100,2,0.5,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.0007881457530936995,0.002260352426563655,2024-03-12 13:45:47,16713.323885679245,12.61878228187561
8,100,100,3,0.5,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.004765746085214146,0.0022464157427034086,2024-03-12 19:06:01,20391.54462504387,15.643157720565796
28,100,100,2,0.7,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.11706371861479514,0.002340563297993471,2024-03-12 14:27:02,17452.726076602936,12.354477882385254
4,100,100,1,0.7,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.0028310442271364524,0.0021279309139631427,2024-03-12 08:52:39,561.8980326652527,7.546239852905273
47,100,100,5,0.7,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12534798920744966,0.002344559441999901,2024-03-13 02:20:33,17212.544423103333,31.41167950630188
44,100,100,4,0.7,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.1201321992454088,0.00235114788701678,2024-03-13 02:09:14,35948.25994491577,28.033060312271118
26,100,100,3,0.7,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.10522787297058703,0.002359172843616117,2024-03-12 19:32:43,21328.293046951294,15.668668746948242
40,100,100,1,0.7,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.008657964193620433,0.002145666608226911,2024-03-12 13:45:39,18030.446747541428,12.492517471313477
39,100,100,5,0.7,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.11310388916749502,0.002335757986200075,2024-03-13 06:04:19,31115.557450294495,28.89328932762146
58,100,100,4,0.7,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12195639790457241,0.002328571735743435,2024-03-12 19:24:16,10279.880187273026,20.800489902496338
33,100,100,3,0.7,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.12802151380304377,0.0023377277320742245,2024-03-12 15:45:48,6892.0325174331665,14.410654067993164
23,100,100,2,0.7,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.11119675998681602,0.002321823669877684,2024-03-12 10:28:03,2271.933598279953,9.571390867233276
43,100,100,5,0.9,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.4036884549835324,0.0026085308003511417,2024-03-13 06:38:48,31888.569576263428,29.139747858047485
21,100,100,2,0.9,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.3707923159094613,0.0024717581408926228,2024-03-12 10:41:07,1919.8265142440796,9.565417528152466
22,100,100,3,0.9,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.4489179475454005,0.0026972065786495586,2024-03-12 15:40:00,6501.307469129562,13.727641820907593
34,100,100,3,0.9,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.39785425123532636,0.0025615060610076302,2024-03-12 19:59:49,22055.233441591263,15.477344512939453
12,100,100,1,0.9,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.004115729074042197,0.0019975900264538457,2024-03-12 08:53:55,512.4451401233673,7.164139747619629
24,100,100,2,0.9,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.38524324328626264,0.0025141564016649054,2024-03-12 15:25:25,19373.68369245529,13.776352405548096
3,100,100,1,0.9,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.08696404186407691,0.002070072420895252,2024-03-12 13:31:00,17175.84809565544,11.433018207550049
49,100,100,4,0.9,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.425083727542948,0.0025953607108832526,2024-03-12 21:22:26,10401.165452957153,21.173885345458984
53,100,100,4,0.9,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.40564389747925,0.0025268507616631394,2024-03-12 23:25:02,23663.31587266922,17.000618934631348
5,100,100,5,0.9,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.4101554073733539,0.0025687374384306965,2024-03-13 02:46:27,17313.87779569626,31.90244436264038
1,100,100,5,1.0,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.6765867092719593,0.0026899339773003433,2024-03-13 04:25:31,17404.24627184868,29.448164224624634
2,100,100,4,1.0,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.6725034224585645,0.0026934041553477277,2024-03-12 21:52:32,10533.797181606293,18.50110149383545
18,100,100,2,1.0,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.6965620358499685,0.0027894910873968734,2024-03-12 15:22:38,17482.06363773346,9.593592643737793
50,100,100,4,1.0,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.7032396275731871,0.0026460872918542848,2024-03-13 01:42:26,25266.013756513596,14.929601430892944
20,100,100,3,1.0,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.6793358573655189,0.0027150418398342664,2024-03-12 16:25:45,6845.608495950699,11.19673228263855
15,100,100,1,1.0,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.7005297314284779,0.002714036202433907,2024-03-12 15:59:47,25990.424222946167,13.783735513687134
17,100,100,1,1.0,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.012892322464029032,0.0019658889879666896,2024-03-12 09:01:52,514.2736856937408,4.699896335601807
25,100,100,3,1.0,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.6784821612107756,0.00274486936403787,2024-03-12 20:10:01,22543.302262306213,12.80849313735962
30,100,100,2,1.0,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.5332663723266993,0.0024495964187720987,2024-03-12 11:04:36,2004.5439393520355,6.77435827255249
