,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,1000,1000,5,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.38638782892001006,0.002941965100123904,2024-03-01 22:04:42,13951.207778453827,295.4751191139221
43,1000,1000,3,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.41698738688936476,0.002874891964115996,2024-03-01 19:37:38,6274.065278530121,105.11660385131836
82,1000,1000,5,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4469973459835034,0.0029882966741356255,2024-03-01 20:28:08,8053.916306734085,313.58939957618713
35,1000,1000,4,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3922993151180468,0.0029314773612262625,2024-03-01 20:54:25,10449.867728471756,168.00642848014832
32,1000,1000,2,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3025647393186164,0.002939379881509449,2024-03-01 19:27:46,5789.344501495361,88.42506408691406
29,1000,1000,4,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4521480413717735,0.0028836727236857857,2024-03-01 19:50:26,6377.102237224579,218.6074674129486
26,1000,1000,2,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.2983208424269944,0.003040355417504293,2024-03-01 18:19:01,1620.6960308551788,98.02253484725952
75,1000,1000,1,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.012512320694916843,0.0024894744206286463,2024-03-01 19:17:21,5165.640798091888,79.75111722946167
10,1000,1000,7,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4071762169052194,0.002908094527346628,2024-03-02 14:05:49,64163.43065786362,1534.5626196861267
48,1000,1000,3,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.45156104535597663,0.00283970942554556,2024-03-01 19:02:07,3956.611377477646,138.8149733543396
81,1000,1000,1,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.003252443574420936,0.0024966073153059503,2024-03-01 17:54:50,455.74642634391785,49.99001598358154
3,1000,1000,7,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4448458310373908,0.0028757774696121573,2024-03-01 20:51:48,5755.051140546799,923.519228219986
7,1000,1000,6,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4473750978745115,0.0028412684047011924,2024-03-01 19:34:03,4493.9435477256775,355.3320450782776
1,1000,1000,6,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3635638862544056,0.003003392967958117,2024-03-02 02:30:26,28171.755964279175,568.2936384677887
30,1000,1000,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.13260779855619126,0.0026402055751481622,2024-03-01 20:42:09,9735.090371608734,169.88995218276978
27,1000,1000,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.16362072942266936,0.0025976740631068604,2024-03-01 18:56:45,3645.607265472412,136.45192456245422
6,1000,1000,7,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.15390600032393748,0.0025700349109828878,2024-03-01 21:17:21,6542.376403570175,997.2157545089722
25,1000,1000,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11932326360908346,0.0025753414603359327,2024-03-01 19:59:59,7455.4513630867,131.13195610046387
22,1000,1000,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1129805737480389,0.0026421522159738395,2024-03-01 18:19:39,1652.3944532871246,99.65457940101624
68,1000,1000,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0005250826579328326,0.0023844064969807174,2024-03-01 17:58:56,550.3699150085449,75.97379446029663
8,1000,1000,6,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1225299283228055,0.002663759729332284,2024-03-02 00:06:25,20287.33956670761,450.4842803478241
70,1000,1000,5,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1624366616848853,0.0025582422965419157,2024-03-01 20:57:52,9626.566358089447,354.2778573036194
16,1000,1000,6,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.16428114818410763,0.0025370151414858735,2024-03-01 19:34:01,4534.356129169464,354.20797514915466
77,1000,1000,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.00315864240035028,0.002439470941899709,2024-03-01 19:37:09,6191.357017993927,110.65947484970093
78,1000,1000,5,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.13680417178446866,0.0025985736743511273,2024-03-01 22:08:12,14128.651382684708,296.89605736732483
51,1000,1000,3,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.14028322125468795,0.0026111625329742756,2024-03-01 20:22:39,8690.863204717636,150.7236466407776
53,1000,1000,4,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.16516574188781785,0.0025865394542512743,2024-03-01 19:51:46,6464.205658197403,215.9754774570465
2,1000,1000,7,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.13581698531337694,0.002644982498991671,2024-03-02 14:01:11,63916.672644376755,1530.8094174861908
62,1000,1000,1,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.003229517480233258,0.0022610851675932595,2024-03-01 19:50:21,6934.000619888306,120.21754670143127
54,1000,1000,5,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0014964814395426948,0.0022538959772555245,2024-03-01 20:48:15,9091.471348524094,338.13006258010864
55,1000,1000,1,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.003397449720424967,0.0022663832759688527,2024-03-01 17:59:38,596.7606384754181,73.83924150466919
45,1000,1000,2,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0006664731351330841,0.0023080590308240273,2024-03-01 18:21:33,1756.9845175743103,101.58623886108398
60,1000,1000,4,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0012851614824535159,0.0023114327429758883,2024-03-01 21:05:57,11065.862452983856,178.69434213638306
80,1000,1000,7,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,0.0006151905848569149,0.0022433669687542514,2024-03-01 21:28:31,6930.459294319153,1075.248794555664
9,1000,1000,7,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-3.837431003623397e-05,0.0022591126542809586,2024-03-02 14:47:29,66153.01594018936,1605.594382762909
67,1000,1000,4,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.003497968153908976,0.0022717076443660666,2024-03-01 19:57:51,6748.010951757431,223.3281490802765
47,1000,1000,3,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,0.0023025592530427556,0.0022582515125592257,2024-03-01 19:02:48,3986.0641384124756,141.90537405014038
23,1000,1000,2,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0005678695344915327,0.0022760030415933247,2024-03-01 20:21:33,8717.509686470032,135.1279318332672
21,1000,1000,6,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,0.0013174984232768273,0.002254573817956726,2024-03-02 00:20:21,21070.4139149189,461.72812008857727
74,1000,1000,5,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.002093252647636273,0.002262829636279396,2024-03-01 22:56:09,16909.89208960533,307.08386278152466
14,1000,1000,6,0.5,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0033062976524013033,0.0022635707580401037,2024-03-01 19:33:12,4510.773467063904,351.2479302883148
24,1000,1000,3,0.5,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,0.0009529891169013833,0.002267188340252095,2024-03-01 20:28:38,9026.547769546509,150.67680978775024
65,1000,1000,7,0.7,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11735943010959919,0.0023132616817098366,2024-03-01 21:27:48,6897.655872106552,1081.3418731689453
59,1000,1000,1,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.008367163376056568,0.0021005760181455244,2024-03-01 19:49:51,6916.837765216827,122.12850999832153
58,1000,1000,5,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11964295605863573,0.0023820057346985706,2024-03-01 22:53:29,16728.394901752472,312.7808508872986
69,1000,1000,5,0.7,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1200894719154113,0.002334414321977353,2024-03-01 20:41:14,8727.824116945267,327.90512251853943
52,1000,1000,6,0.7,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.12423191707042333,0.002340168908249297,2024-03-01 20:25:47,6665.834782123566,518.2570378780365
79,1000,1000,7,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1188670270682535,0.0023560193216070405,2024-03-02 14:42:28,65823.01572036743,1612.1267483234406
64,1000,1000,4,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11747014291547042,0.002307391020278428,2024-03-01 21:05:23,11035.085423707962,178.3013505935669
83,1000,1000,4,0.7,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.12649757577906015,0.00239307805682504,2024-03-01 19:51:48,6457.807129859924,218.31911516189575
11,1000,1000,6,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.1112428067404109,0.0023719952383316092,2024-03-02 00:07:36,20352.445212602615,451.16551423072815
44,1000,1000,2,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.10976322000271832,0.002338126863514269,2024-03-01 20:00:05,7458.33770442009,153.8287296295166
42,1000,1000,3,0.7,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11932609162193533,0.002388052026923655,2024-03-01 20:25:09,8809.769073963165,158.34852027893066
