,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
108,1000,1000,2,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.286868263665661,0.00023822174466761178,2024-03-01 12:49:21,4686.474795103073,89.59097838401794
199,100,100,1,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29102054653991577,0.0002502393126570025,2024-03-01 11:17:18,393.1866104602814,8.287065505981445
101,1000,1000,2,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29038207785646003,0.00024069127133045682,2024-03-01 12:01:57,1748.4353523254395,107.89839339256287
117,100,100,2,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28798322565775336,0.00024694310710446826,2024-03-01 11:21:33,616.9399807453156,12.719927310943604
213,1000,1000,4,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2839983775962768,0.00023297914445910632,2024-03-01 13:52:03,7401.989652633667,166.93598246574402
7,1000,1000,5,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28618015059258195,0.0002388612136832581,2024-03-01 14:12:14,7186.7016248703,326.68515729904175
95,1000,1000,1,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29008533478713094,0.00024240089062296493,2024-03-01 13:10:31,5937.450400590897,137.38217949867249
51,100,100,4,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2870472310197567,0.0002452869213542484,2024-03-01 11:22:43,611.196977853775,26.111836910247803
128,100,100,2,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2912604502233894,0.00024901052095281304,2024-03-01 11:13:29,152.38622856140137,10.734461784362793
206,100,100,5,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2874058137316779,0.0002463970737325921,2024-03-01 11:31:55,886.1955738067627,34.77549767494202
22,1000,1000,5,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2839373463575606,0.00023230431049172046,2024-03-01 15:37:07,12425.419066667557,303.684663772583
15,100,100,3,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2889087391068997,0.00024819231826179485,2024-03-01 11:17:08,344.2101151943207,14.79584527015686
89,1000,1000,2,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23386619383046908,0.00024217177854002057,2024-03-01 11:45:40,982.1437604427338,67.19241857528687
69,1000,1000,1,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2461178273365511,0.0002914406670450624,2024-03-01 11:35:21,576.5740087032318,78.79889035224915
141,100,100,1,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.24618198821024811,0.0002918402579748077,2024-03-01 11:11:00,34.489211082458496,5.186999797821045
135,100,100,2,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23406761370827434,0.00024489769707331937,2024-03-01 11:23:11,710.9167144298553,13.369337558746338
64,100,100,4,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23390222269740796,0.0002448737009221496,2024-03-01 11:26:42,864.8585681915283,22.220790147781372
136,1000,1000,4,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23265300657325416,0.00023933665319990312,2024-03-01 13:30:21,5753.6581065654755,215.46818161010742
159,1000,1000,4,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23247648356910736,0.00024136269956955488,2024-03-01 14:36:12,9930.319590806961,184.3225371837616
79,1000,1000,1,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2364182044542025,0.0002560173844851986,2024-03-01 12:34:45,4104.235520362854,83.31154894828796
81,100,100,2,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2351800920414091,0.0002454762131322932,2024-03-01 11:13:43,166.2727711200714,10.217309951782227
160,100,100,1,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23753445392473238,0.00025884961645467904,2024-03-01 11:19:13,489.84099864959717,11.066343545913696
102,1000,1000,2,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2333476592986964,0.0002421720112737615,2024-03-01 13:27:09,6662.492152929306,140.04909467697144
165,100,100,5,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23373059992329498,0.0002450957682301464,2024-03-01 11:31:19,837.1152741909027,32.16275954246521
218,100,100,3,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23471528424734328,0.00024578902774995956,2024-03-01 11:17:16,350.5954005718231,15.039292812347412
0,100,100,3,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2342406612274671,0.00024498630465008266,2024-03-01 11:24:46,779.8232133388519,17.609063625335693
53,1000,1000,3,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23300613449737193,0.0002408901848765675,2024-03-01 13:44:37,7363.461670875549,170.1313395500183
49,100,100,4,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23409273796784247,0.0002442155074201924,2024-03-01 11:17:42,322.7897186279297,13.699327945709229
3,1000,1000,3,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23319244578693038,0.00024140761208472046,2024-03-01 12:37:44,3516.3604185581207,148.48317646980286
211,100,100,5,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23327727793902672,0.00024328921818548917,2024-03-01 11:39:28,1326.6489074230194,36.01917481422424
8,1000,1000,5,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2329401678771888,0.00024121390546521094,2024-03-01 16:08:29,14246.052018880844,305.730676651001
39,1000,1000,5,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23258220955891207,0.0002403759169110322,2024-03-01 14:34:33,8222.197908878326,344.49923372268677
84,1000,1000,2,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18837134558489013,0.0002278953258952822,2024-03-01 13:18:06,6141.439519166946,129.05258536338806
13,100,100,4,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18952952628867759,0.00022918851460268099,2024-03-01 11:18:10,318.83290791511536,13.497648000717163
127,100,100,2,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.19089404311857697,0.00023341002685621742,2024-03-01 11:12:58,125.32555818557739,9.82130765914917
32,100,100,4,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1894384793365285,0.0002307642177108811,2024-03-01 11:22:07,584.2004249095917,12.36130690574646
12,1000,1000,3,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18778896739874776,0.00022645729911878942,2024-03-01 13:38:49,7026.851458787918,169.10888624191284
182,1000,1000,4,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18875272648072614,0.00022927810824940735,2024-03-01 13:24:44,5354.328831195831,220.70264554023743
147,100,100,5,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1897384815004877,0.00022992799245043663,2024-03-01 11:33:49,961.9041159152985,37.71381163597107
72,100,100,2,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18912833497055578,0.00022925692079586778,2024-03-01 11:22:12,653.97736120224,13.87870478630066
151,1000,1000,2,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18948600104544253,0.00023049487799977613,2024-03-01 11:55:45,1379.0748763084412,101.06516933441162
26,1000,1000,3,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18865542952967626,0.00022767024682713593,2024-03-01 12:42:15,3701.90696144104,168.77814602851868
119,1000,1000,1,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.20304732862113312,0.00028302755878949003,2024-03-01 11:35:30,558.6677725315094,83.1882209777832
153,100,100,1,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.19594861509062209,0.00025426586116431726,2024-03-01 11:16:51,363.4831657409668,7.5366880893707275
179,100,100,3,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18967689923630426,0.00022907271722764783,2024-03-01 11:17:12,347.88416934013367,14.86228632926941
