,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
62,1000,1000,3,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2817397697412697,0.00012498592390444103,2024-05-21 17:53:18,4325.381317853928,823.4932565689087
173,1000,1000,3,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.28196465860453007,0.00012717307358624805,2024-05-21 17:45:15,7318.962121009827,358.64454984664917
195,100,100,3,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2833313497764013,0.00011929914921657692,2024-05-21 15:03:45,2642.325850725174,65.7183849811554
74,1000,1000,1,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2903277470399849,0.0001339700532428425,2024-05-21 21:11:42,19233.18419790268,483.01560163497925
108,1000,1000,2,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2860731717430512,0.00013074480326794648,2024-05-21 19:19:01,12696.878504514694,441.6846799850464
199,100,100,1,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.29103189369817284,0.000125819032284971,2024-05-21 14:48:36,1882.183116197586,38.43200135231018
101,1000,1000,2,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.28600148892920685,0.0001324150190729059,2024-05-21 18:05:59,7221.158134698868,588.3506948947906
117,100,100,2,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2879770414471922,0.00012247080498120679,2024-05-21 14:57:28,2322.42004942894,54.922467947006226
213,1000,1000,4,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2805079954245089,0.00012502800785738527,2024-05-21 17:38:10,4617.700657606125,410.52715277671814
7,1000,1000,5,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2816351197237474,0.0001285993961087729,2024-05-21 22:49:05,2358.595391511917,2359.5070610046387
95,1000,1000,1,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.29020934330581266,0.00013503549485128976,2024-05-21 20:28:23,17395.87104654312,400.124391078949
51,100,100,4,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2831445338927173,0.00011597347765037847,2024-05-21 15:06:07,2323.5063586235046,147.38309574127197
128,100,100,2,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2873221718160518,0.00012172742421000115,2024-05-21 14:57:55,2279.1378626823425,66.97741937637329
206,100,100,5,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2821907441212983,0.0001172257339625927,2024-05-21 15:43:29,1952.599850177765,232.03229093551636
22,1000,1000,5,0.1,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2804349426143654,0.00012295909076840482,2024-05-21 20:38:27,4462.310232877731,994.369048833847
15,100,100,3,0.1,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2834741473056089,0.0001199364360919162,2024-05-21 15:20:08,3415.5117700099945,103.88608813285828
89,1000,1000,2,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23254394160688968,0.00013194045117251836,2024-05-21 17:45:28,6394.716561317444,528.3273296356201
69,1000,1000,1,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23662138012988237,0.0001408889453918085,2024-05-21 21:08:25,19128.490174531937,469.87035298347473
141,100,100,1,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2378598549861365,0.0001298599379204078,2024-05-21 14:59:26,2372.814473628998,64.59679794311523
135,100,100,2,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2341837983667203,0.00012243489833095903,2024-05-21 14:58:04,2356.460559606552,57.68615794181824
64,100,100,4,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23214994684591594,0.00012261115230173325,2024-05-21 15:03:37,2614.2210268974304,70.99636197090149
136,1000,1000,4,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23134975737146624,0.0001339817156841788,2024-05-21 17:54:48,1999.4104208946228,825.2633063793182
159,1000,1000,4,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23066139355798845,0.00013076294189061396,2024-05-21 17:52:42,4743.079008817673,422.9766402244568
79,1000,1000,1,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23631527203403058,0.0001410452231050227,2024-05-21 20:53:21,18275.04680275917,451.9727509021759
81,100,100,2,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2338558069834879,0.0001231251849608609,2024-05-21 14:58:33,2319.7925250530243,68.19789481163025
160,100,100,1,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23765624978128472,0.0001297996850151509,2024-05-21 14:59:13,2418.029218196869,54.035197019577026
102,1000,1000,2,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23286360999407973,0.0001340175219341203,2024-05-21 20:06:55,14860.965104103088,518.893881559372
165,100,100,5,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2323157636008071,0.00012115799959298988,2024-05-21 15:57:18,2219.2090821266174,286.63675117492676
218,100,100,3,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2326587441577673,0.0001197049163724552,2024-05-21 15:19:49,3397.1445503234863,103.74057054519653
