,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
85,1000,1000,1,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.36225895411315573,2.0232349544267656e-06,2024-02-14 15:31:04,184.4999384880066,237.32612562179565
25,1000,1000,5,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3435557130690763,1.8647583775899091e-06,2024-02-14 16:00:43,338.29639768600464,1032.518095254898
198,100,100,3,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.34105542474477846,1.938189831627962e-06,2024-02-14 15:23:32,30.909757137298584,60.94980812072754
192,100,100,5,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3454862987692095,1.9843186051996167e-06,2024-02-14 15:26:00,29.874260663986206,124.66239070892334
33,1000,1000,5,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.33278205948445017,1.7499236538405742e-06,2024-02-14 15:55:35,367.8650481700897,748.27232670784
20,100,100,5,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3373722172361485,1.8769152995164566e-06,2024-02-14 15:26:08,43.88879990577698,120.4077730178833
19,1000,1000,4,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3333312114737194,1.7519598625856576e-06,2024-02-14 15:41:45,245.5519654750824,393.27744722366333
34,100,100,4,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.33838324551745536,1.8827640059293537e-06,2024-02-14 15:24:27,31.930686950683594,69.6263701915741
131,1000,1000,2,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3320572208687545,1.7451977704883551e-06,2024-02-14 15:36:07,253.91434741020203,387.95986819267273
143,1000,1000,3,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.33209501589489987,1.7425006040465435e-06,2024-02-14 15:41:19,328.31704235076904,513.4594280719757
205,1000,1000,4,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.34427290723791765,1.8620832515452807e-06,2024-02-14 15:46:45,230.40276551246643,649.8610923290253
137,100,100,4,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3458128521479795,1.9764200247027367e-06,2024-02-14 15:24:24,21.160379648208618,76.16627287864685
197,100,100,1,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.35887037781108483,1.9596210441125596e-06,2024-02-14 15:23:07,18.519869804382324,30.633556365966797
180,100,100,3,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3458898244113947,1.990248017769316e-06,2024-02-14 15:23:07,14.746590614318848,51.70813059806824
126,100,100,2,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3549247928555804,2.0161521589328723e-06,2024-02-14 15:22:43,10.861065864562988,33.36290788650513
98,100,100,2,0.0,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.33947766704714266,1.8983730219459352e-06,2024-02-14 15:23:17,26.32546615600586,51.971251487731934
163,1000,1000,3,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3453143877656234,1.887086254582939e-06,2024-02-14 15:36:54,151.81857204437256,424.72945761680603
113,1000,1000,2,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3548017471524628,1.9049319336316694e-06,2024-02-14 15:31:29,103.97135734558105,262.617995262146
217,100,100,1,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3811714603409524,2.5121104362316235e-06,2024-02-14 15:22:16,5.891878843307495,14.233253240585327
94,1000,1000,1,0.0,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3829584274841014,2.4031799843073666e-06,2024-02-14 15:26:50,60.28818345069885,111.91960382461548
155,100,100,4,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28537083640111494,1.889542800615869e-06,2024-02-14 15:24:39,33.08020067214966,77.29612374305725
183,100,100,5,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2863356969505543,1.8914289783953074e-06,2024-02-14 15:26:34,48.68834161758423,134.49237728118896
177,1000,1000,4,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28757555278062985,1.8969692462643048e-06,2024-02-14 15:47:19,215.5716941356659,689.2170739173889
175,100,100,1,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3026105499107563,2.3027989382975893e-06,2024-02-14 15:22:23,6.785567760467529,19.50702691078186
62,1000,1000,3,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28811438473029,1.8895479800992732e-06,2024-02-14 15:38:33,170.75266098976135,489.4332046508789
173,1000,1000,3,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28436741476669786,1.8054458087515182e-06,2024-02-14 15:41:41,313.5424406528473,543.2687547206879
195,100,100,3,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2867111163868918,1.9487366625620787e-06,2024-02-14 15:23:45,32.57476210594177,71.6336898803711
74,1000,1000,1,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.3021407785104458,2.2605523059065015e-06,2024-02-14 15:27:52,70.70317363739014,156.66608095169067
108,1000,1000,2,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28758129363909524,1.8528122925394846e-06,2024-02-14 15:38:24,283.25695729255676,483.6471004486084
199,100,100,1,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2912540617292604,1.9840529117960447e-06,2024-02-14 15:23:00,18.52326774597168,35.54209637641907
101,1000,1000,2,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.29031473193375235,1.8857459929659443e-06,2024-02-14 15:33:16,125.58550357818604,335.24761056900024
117,100,100,2,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.29072059269945477,1.949847368323217e-06,2024-02-14 15:23:27,27.678532361984253,59.448787450790405
213,1000,1000,4,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2827748565273068,1.811751819917551e-06,2024-02-14 15:43:10,258.58283710479736,437.8560199737549
7,1000,1000,5,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28777843328312425,1.9040929402143848e-06,2024-02-14 15:52:57,220.36371898651123,708.833643913269
95,1000,1000,1,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2905261281386717,1.9051545958401814e-06,2024-02-14 15:35:28,235.94087743759155,434.6427457332611
51,100,100,4,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.28850848189620665,1.9465461186161755e-06,2024-02-14 15:24:45,25.876811027526855,87.78027415275574
128,100,100,2,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.29090197536242063,1.950451689621635e-06,2024-02-14 15:22:52,12.182767868041992,40.898712396621704
206,100,100,5,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2882966533494101,1.9546554896202533e-06,2024-02-14 15:26:26,34.86696696281433,138.46008229255676
22,1000,1000,5,0.1,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2842914127063626,1.8801258121639011e-06,2024-02-14 16:03:53,493.8555715084076,1063.755196094513
15,100,100,3,0.1,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2887672502425702,1.9368383178676957e-06,2024-02-14 15:23:18,16.318012475967407,60.08712673187256
89,1000,1000,2,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2341060932138673,1.8958878792948917e-06,2024-02-14 15:33:00,120.91040539741516,325.0271670818329
69,1000,1000,1,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.24515951514053042,2.2600728882977694e-06,2024-02-14 15:30:18,102.89090538024902,258.319313287735
141,100,100,1,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2465133533950571,2.288895698726614e-06,2024-02-14 15:22:37,9.450601577758789,29.626839637756348
135,100,100,2,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2350147022697213,1.9217092493764085e-06,2024-02-14 15:23:25,28.285908460617065,57.07355332374573
64,100,100,4,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23444240853713308,1.9294462162275737e-06,2024-02-14 15:24:45,36.714211225509644,75.52375221252441
136,1000,1000,4,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2332798726772803,1.9031577838490338e-06,2024-02-14 15:41:54,149.28082156181335,449.91325306892395
159,1000,1000,4,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23217287847129514,1.8687653370190072e-06,2024-02-14 15:48:23,354.1369938850403,618.3028316497803
79,1000,1000,1,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23638881484988822,1.9954863399652892e-06,2024-02-14 15:36:23,268.56224942207336,445.94734811782837
81,100,100,2,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23506214930435992,1.921083427937046e-06,2024-02-14 15:22:52,12.160840034484863,40.61932873725891
160,100,100,1,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23833255930853445,2.0452546528560525e-06,2024-02-14 15:22:52,18.841485261917114,35.42509126663208
102,1000,1000,2,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23396296947014084,1.8918314097753898e-06,2024-02-14 15:38:11,281.3364317417145,469.2088930606842
165,100,100,5,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23435413813446357,1.934640042376236e-06,2024-02-14 15:26:20,32.76216912269592,134.66121077537537
218,100,100,3,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2344359018655095,1.9234614081591584e-06,2024-02-14 15:23:18,16.162089347839355,60.52525877952576
0,100,100,3,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2336668426069975,1.913036857369002e-06,2024-02-14 15:23:45,32.47230505943298,71.64591860771179
53,1000,1000,3,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23339609399552386,1.885472882594696e-06,2024-02-14 15:43:00,358.56003999710083,566.8840727806091
49,100,100,4,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23430353070630672,1.9284469459461184e-06,2024-02-14 15:25:01,15.171232461929321,57.404382944107056
3,1000,1000,3,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2332919151098647,1.8965505835705158e-06,2024-02-14 15:38:24,167.20347809791565,485.36131262779236
211,100,100,5,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23386399201403157,1.900460601567655e-06,2024-02-14 15:26:35,48.63384771347046,135.1658113002777
8,1000,1000,5,0.2,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.2321987416989209,1.9020551943185425e-06,2024-02-14 16:02:48,462.5338397026062,1035.303225517273
39,1000,1000,5,0.2,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.23298742538851436,1.9060434125150888e-06,2024-02-14 16:01:05,320.3632757663727,1049.1957216262817
84,1000,1000,2,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18970691471078271,1.7833890153524538e-06,2024-02-14 15:37:33,269.4614269733429,447.07366251945496
13,100,100,4,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1898141653082405,1.8219637664001362e-06,2024-02-14 15:24:09,14.583433151245117,55.4511923789978
127,100,100,2,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.19100302113978398,1.8347051721356867e-06,2024-02-14 15:22:52,12.230206966400146,40.96219062805176
32,100,100,4,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1897790668351965,1.8000167077955518e-06,2024-02-14 15:24:15,24.270662307739258,52.65816783905029
12,1000,1000,3,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1884656400148976,1.8045123981875305e-06,2024-02-14 15:42:54,343.1713671684265,577.9510128498077
182,1000,1000,4,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18859493193075805,1.8119054345441865e-06,2024-02-14 15:47:50,215.25807547569275,688.3000195026398
147,100,100,5,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18990254103744666,1.8291889989878824e-06,2024-02-14 15:25:20,22.260645151138306,89.58337736129761
72,100,100,2,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.190207756669357,1.8178227269289017e-06,2024-02-14 15:23:28,28.08254051208496,60.37440490722656
151,1000,1000,2,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18972830891493475,1.8146555792200446e-06,2024-02-14 15:33:13,118.51784467697144,321.5076129436493
26,1000,1000,3,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18880970413328046,1.7985740034541865e-06,2024-02-14 15:38:27,166.3150942325592,488.99684166908264
119,1000,1000,1,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.20331121332602203,2.2191946474817106e-06,2024-02-14 15:27:58,71.95128035545349,156.85211896896362
153,100,100,1,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.195588832006637,1.9768422902501044e-06,2024-02-14 15:23:11,23.51573419570923,48.9969847202301
179,100,100,3,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1904559341249873,1.8305263963988336e-06,2024-02-14 15:23:16,16.116495370864868,59.207314014434814
157,1000,1000,4,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18887396181238972,1.7675680777272684e-06,2024-02-14 15:43:02,249.26772451400757,425.0302484035492
42,1000,1000,5,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18817668151895173,1.7799280280366595e-06,2024-02-14 16:04:20,501.20055317878723,1054.862374305725
46,100,100,1,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.20465053023147012,2.2374911714612387e-06,2024-02-14 15:22:37,9.103692531585693,29.424981832504272
58,1000,1000,5,0.3,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.18882099022847623,1.797692024595128e-06,2024-02-14 16:03:02,355.3963725566864,1099.1873915195465
171,100,100,5,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.19009201466837558,1.8031381961104489e-06,2024-02-14 15:26:33,47.94027829170227,133.259174823761
68,1000,1000,1,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.19478444639499204,1.9689985389716583e-06,2024-02-14 15:35:45,258.36690640449524,420.9699101448059
200,100,100,3,0.3,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.19022210583492588,1.8357119184073111e-06,2024-02-14 15:23:43,32.765167236328125,69.38129091262817
124,1000,1000,1,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.16181040995221732,1.8443843494876222e-06,2024-02-14 15:32:37,193.32945942878723,286.03711342811584
216,1000,1000,4,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1535306469148537,1.6653901499957666e-06,2024-02-14 15:43:31,149.743506193161,450.2835912704468
116,100,100,2,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15389909690881048,1.6407232680555856e-06,2024-02-14 15:23:28,28.086194276809692,60.14990258216858
2,100,100,4,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1544325923773954,1.683027901738373e-06,2024-02-14 15:24:50,33.42969846725464,76.09194326400757
112,1000,1000,1,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1716167214687783,2.135740230617953e-06,2024-02-14 15:28:28,71.7836344242096,159.37005257606506
129,100,100,2,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15636816689287958,1.7089340804357563e-06,2024-02-14 15:22:52,12.07918095588684,40.490232706069946
17,100,100,4,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1551088278148265,1.6957019728754709e-06,2024-02-14 15:24:53,23.15116238594055,87.02823138237
168,1000,1000,5,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1534216023701563,1.672261215060851e-06,2024-02-14 16:03:19,358.24600553512573,1089.1010007858276
145,100,100,5,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15412484876942997,1.6429716880466804e-06,2024-02-14 15:26:33,47.933417558670044,133.2048840522766
164,1000,1000,2,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15478355554471082,1.6810616537788515e-06,2024-02-14 15:33:11,123.47861576080322,330.59828329086304
57,1000,1000,5,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.153210086459196,1.6430062514471e-06,2024-02-14 15:58:14,391.42535734176636,813.9142105579376
61,1000,1000,3,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15368989456640908,1.6723788353018426e-06,2024-02-14 15:38:34,165.58401536941528,494.602175951004
38,100,100,5,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15445109265866488,1.6749908403366967e-06,2024-02-14 15:25:23,22.29679560661316,90.61992383003235
21,1000,1000,3,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15260968060220986,1.6325926104094239e-06,2024-02-14 15:42:51,349.25470995903015,564.6953547000885
142,1000,1000,2,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15336778058270292,1.6285829462001407e-06,2024-02-14 15:38:23,284.3193221092224,477.9643096923828
140,100,100,3,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1553914107775142,1.6951997897281018e-06,2024-02-14 15:24:50,15.34389066696167,57.52837300300598
35,100,100,1,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.1632784065858546,1.8845497449961306e-06,2024-02-14 15:23:11,23.452971935272217,48.268963098526
193,1000,1000,4,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15267481108561082,1.634650760951574e-06,2024-02-14 15:49:55,354.49486565589905,616.6750137805939
82,100,100,1,0.4,sig,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.17277790462863765,2.155268771795781e-06,2024-02-14 15:22:24,6.9807939529418945,19.97065782546997
196,100,100,3,0.4,log,0.1,0.0,,3,201,2048,4096,0.1,32,1048576,tX,0.15450127245239817,1.6581644422716914e-06,2024-02-14 15:24:16,30.54703164100647,66.95669221878052
