,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
74,1000,1000,1,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3022577053566575,2.2592927324886372e-06,2024-02-14 17:19:31,94.24860954284668,160.54590916633606
108,1000,1000,2,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2871653848732208,1.8755272295578526e-06,2024-02-14 17:30:07,327.6404776573181,448.4365677833557
199,100,100,1,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2915636712647492,1.9797704353502016e-06,2024-02-14 17:09:06,28.63769769668579,48.44314670562744
101,1000,1000,2,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.29029430049740046,1.8875001680765442e-06,2024-02-14 17:24:58,148.88881754875183,321.3676652908325
117,100,100,2,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2884551975291949,1.9560303703047627e-06,2024-02-14 17:14:36,41.71241569519043,75.91408133506775
213,1000,1000,4,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.28256541174689936,1.8391631733667098e-06,2024-02-14 17:42:09,371.4481134414673,588.2424194812775
7,1000,1000,5,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.28744495279946825,1.8858370465483047e-06,2024-02-14 17:48:45,273.01171469688416,763.4231789112091
95,1000,1000,1,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.29072786587562527,1.9003866726799944e-06,2024-02-14 17:26:56,293.4348690509796,397.48794054985046
51,100,100,4,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2879360293832781,1.94857241711188e-06,2024-02-14 17:11:46,18.18039083480835,57.30604863166809
128,100,100,2,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.29098889114223275,1.9484322336647195e-06,2024-02-14 17:15:32,14.387049913406372,39.02348518371582
206,100,100,5,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.28825151009999095,1.9384496356227633e-06,2024-02-14 17:14:46,25.984203815460205,90.66823530197144
22,1000,1000,5,0.1,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2830269149605522,1.8045698130736151e-06,2024-02-14 17:52:45,469.64655566215515,837.2933003902435
15,100,100,3,0.1,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2887400869638387,1.945345227859547e-06,2024-02-14 17:19:20,16.474406719207764,53.5466685295105
89,1000,1000,2,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23383780810722105,1.888095067226774e-06,2024-02-14 17:25:05,147.43927478790283,321.4891130924225
69,1000,1000,1,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.24524850248094265,2.2622160155209743e-06,2024-02-14 17:19:26,91.5459816455841,159.246111869812
141,100,100,1,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.24662412496252795,2.2910175435643835e-06,2024-02-14 17:08:15,8.747519731521606,19.504652976989746
135,100,100,2,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.234320001391598,1.9278963849576116e-06,2024-02-14 17:16:07,32.14757823944092,55.1565043926239
64,100,100,4,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23353907216279654,1.9156422480113226e-06,2024-02-14 17:12:28,29.84165644645691,53.83713221549988
136,1000,1000,4,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23326443810187242,1.9002606195932555e-06,2024-02-14 17:42:21,250.80653834342957,666.4301183223724
